lat,lon,name
38.9154205,-77.0317015,Cafe Saint Ex
37.7721282,-122.4227728,Martuni's
37.7696815,-122.4487116,Hobson's Choice
37.7969638,-122.4056426,Comstock Saloon
38.3260315,-122.7055813,The Tradewinds
38.3259769,-122.7060215,Spancky's
42.3958183,-75.8084643,Seebers Tavern
44.2329291,-76.4938562,The Brooklyn
42.8146336,-89.6331435,Puempel's Olde Tavern
43.6540567,-79.4135777,Monarch Tavern
43.6451159,-79.3979137,Early Mercy
42.8151805,-89.6337456,S'Wisco Taphaus
42.8150796,-89.6337468,Glarner Stube
34.0833871,-118.3851445,The Abbey
23.117697,-82.434436,Copacabana
23.1412941,-82.3809322,La Zorra y El Cuervo (Karabali)
43.6501905,-79.3901805,Queen Street Warehouse
18.6697075,-68.4064748,Swimup Bar El Mojaito
37.7627131,-122.2442763,Lucky 13
37.7655018,-122.2425144,Lostweekend Lounge
37.7657624,-122.2424008,American Oak
37.7659141,-122.2415877,Churchward Pub
37.7862572,-122.4086732,John Foley's Dueling Piano Bar
29.9207396,-90.1012357,The Club Ms Mae’s
29.9212893,-90.1169407,St. Joe's Bar
29.9234775,-90.0873491,"The Bulldog, Uptown"
33.3195105,-111.9081349,Syndey's
33.227336,-111.7045239,Tapas Bar
47.6230633,-122.1315621,Off the Rails Sport Bar
23.1404892,-82.3559294,Bar El Angel del Tejadillo
23.1362314,-82.3521009,El Bosque
37.8904419,-122.2992009,Ivy Room
43.6583384,-79.3722469,Friends Bar & Grill
42.3663,-83.0299,Ben's
27.7696615,-82.6367564,DeSanto Bar
23.1408388,-82.3522787,La Bodeguita del Medio
39.9606683,-75.1471214,Yards Brewing Company
34.2205822,-117.400925,Night Club
33.2078964,-87.5647289,Alcove
44.0223118,-88.5372317,Legends Sports Bar
33.1445846,-117.1523269,Cow Shed Bar and Grill
32.7654121,-117.0184998,Petes Place
32.660285,-117.071855,Plum Crazy Saloon
32.750665,-117.130509,Redwing Bar and Grill
33.134964,-117.059751,Dees Sports Tavern
32.790007,-117.020338,Parkys
32.794229,-116.940533,The Landing
32.838015,-116.994785,Club Iguana
32.751279,-117.130511,Slip Inn
32.668108,-117.072345,Cozy Corner
33.0935024,-117.071537,Sunset Lounge
32.794037,-117.002898,House Of Draught No 2
32.584281,-117.113324,Little Bonanza
32.745223,-117.235466,Macs Cocktails
32.838283,-116.995969,Santee Sports Bar
32.7428178,-117.0397313,Kcs Good Guys Tavern
33.145335,-117.1725989,49Er
32.7811788,-117.1009461,Jts Clubhouse Pub and Grill
32.722926,-117.083565,Round Table Cocktail Lounge
32.807978,-117.261309,West End Pub
32.708554,-117.00983,Mikes Coctails
32.763091,-117.121202,The Ould Sod
32.802315,-117.228265,Daves Tavern
32.710575,-117.158921,Tivoli Bar
32.729019,-116.961747,Shooters Cocktails
32.7526157,-117.2463784,Mother’s Saloon
32.7550162,-117.117481,Radio Room
32.839687,-116.790201,Casino Inn
33.200712,-117.242207,Smittys Downtown
32.724637,-117.160013,Sro Lounge
32.7471301,-117.2506597,Winstons Beach Club West
