lat,lon,name
51.2678439,-105.9950933,Subway
42.3591858,-83.473104,Joe's Deli
41.9245978,-83.3660801,Subway
44.6728239,-63.6655131,Jessy's Pizza
44.739397,-63.6548748,A&W
44.7316082,-63.6571659,Chickenburger
44.6780073,-63.6502295,Pizza Tomaso
44.674829,-63.6477076,Tim Hortons
44.8559038,-63.8039644,Uniacke Pizza
44.7148373,-63.6793039,Pizza Girls
48.5755485,-123.4453148,Villages Pizza
44.6426691,-63.5789949,McDonald's
44.6426176,-63.5792309,Subway
46.210495,-60.2475449,Subway
46.2447519,-60.2745264,A&K Lick-a-chick
46.2443587,-60.2739408,A&K Lick-a-treat
46.2523405,-60.3025091,Udder Delight Icecream Caboose
46.0878646,-60.7807544,Tim Hortons
45.9678367,-61.1353662,Waycobah Pizza
44.2679468,-76.4796677,Subway
44.2414094,-76.5128958,A&W
48.9429071,-57.9491871,A&W
48.944123,-57.9550212,Tim Hortons
44.2330217,-76.4923483,Burger King
44.2311999,-76.4791995,Subway
40.2313592,-76.9532518,McDonald's
40.1938909,-76.9912989,Domino's
45.5758468,-62.6425546,Subway
45.6520676,-61.4445225,Subway
46.0782648,-60.9121633,Ja'Li's Pizza
44.6451841,-63.5739618,Subway
43.6577736,-79.3996819,Burger King
43.6536955,-79.3909786,McDonald's
43.6770245,-79.3554505,Subway
43.6502264,-79.3900351,Pizza Pizza
43.6520854,-79.4061892,McDonald's
43.6668767,-79.4035673,Pizza Pizza
34.0772159,-118.1515821,Jack in the Box
43.66451,-79.4146608,KFC
43.6745469,-79.4000228,Subway
43.6744621,-79.3887411,Subway
41.623477,-79.6728774,McDonald's
43.6652157,-79.411422,Pizza Pizza
43.6621451,-79.4255447,Ali Baba's
43.6634152,-79.4185373,Subway
43.6610593,-79.4291136,Pizza Pizza
43.6598858,-79.4345763,Popeyes
43.6658283,-79.4380686,Double Double
34.0762169,-118.2160197,Yoshinoya
34.0766932,-118.2160126,Jack in the Box
34.7623421,-84.9336125,Checkers
40.2178646,-76.9834148,Wendy's
43.2736445,-71.4622964,Dunkin' Donuts
40.9008448,-74.0055492,
40.5812324,-105.077458,Good Times
44.2330634,-76.4925462,Pizza Pizza
44.2335447,-76.492777,Pita Pit
44.23333,-76.492227,Dairy Queen
43.6554926,-79.3856241,Subway
44.2289582,-76.4910119,Old Farm Fine Foods
42.7676918,-78.6298247,McDonald's
43.6589099,-79.4392606,Pizza Pizza
43.6433231,-79.4237798,Pizza Pizza
43.6816823,-79.4268414,McDonald's
35.8756601,-106.3252247,Otowi Cafeteria
40.9654924,-76.6205176,Burger King
38.9294894,-119.9310316,Gunbarrel Grill
44.22857,-76.4814741,White Mountain Ice Cream
45.548485,-73.6717419,Subway
33.4807063,-112.0307449,Carl's Jr.
51.0842822,-114.1256079,Harvey's
51.127432,-114.1970061,Wendy's
51.1230271,-114.1973572,Dairy Queen
51.1517607,-114.2148482,Pizza 73
51.1507709,-114.2129717,Subway
51.1479421,-114.2551512,Subway
51.1894872,-114.4746705,Quiznos
51.1845567,-114.4774904,Extreme Pita
51.1914802,-114.4712599,Canadian Pizza Unlimited
51.1916337,-114.4711109,Peking House
51.1918394,-114.4699113,Subway
51.1845999,-114.4751299,Panago
51.0169046,-114.1736676,Wendy's
35.1084462,-106.5960228,Blake's Lotaburger
34.8848395,-92.106706,McDonald's
34.8852046,-92.1076082,Sonic
34.8854692,-92.1074655,Rally's
34.8851667,-92.1098497,Burger King
34.8831731,-92.1088399,Taco Bell
43.6766677,-79.4113057,Pizza Nova
43.2275009,-79.9441998,Wendy's
35.0808088,-106.621628,Papa John's
35.089148,-106.514662,Wendy's
37.37428,-76.804111,Chickahominy Rd & Ridgedale Ave 1
37.374394,-76.80406,Chickahominy Rd & Ridgedale Ave 2
37.266981,-76.763144,Steeplechase Apartments
45.5200478,-73.5866171,Sara
43.6633207,-79.4025009,Subway
43.6632837,-79.4024936,Papa Ceo Pizza
43.6633466,-79.4025124,Cora's Pizza
29.7281256,-95.5594905,Jack in the Box
43.6550643,-79.4180293,Pizza Nova
40.2487671,-77.0299094,McDonald's
45.4758654,-73.7899684,Lafleur
43.5932619,-79.5379325,Mr. Sub
43.647762,-79.4017839,Subway
43.6450699,-79.3981242,Pizza Pizza
44.0411675,-88.5408805,Subway
43.9828404,-79.4640231,Harvey's
43.984353,-79.463049,McDonald's
43.6388522,-79.4463942,McDonald's
49.6101976,-114.4502839,Charley Biggs'
39.2870865,-84.4625157,Panera Bread
