lat,lon,name
45.6261839,-76.8781511,Westway Family Restaurant
43.6320111,-79.3965963,
40.7551579,-75.2623818,The Widow's Tavern and Grille
40.7544953,-75.2611606,Tony's Pizza
40.6683307,-76.972268,Meiserville Inn
40.3178968,-76.8981209,Front Street Diner
42.3589033,-83.4725842,Boulders
44.6721568,-63.6652585,Canton Garden
44.6725075,-63.6654796,Arirang
44.6584183,-63.6697926,Swiss Chalet
44.6576674,-63.6696982,Smitty's
44.7379576,-63.6563868,Jade Dragon
44.7079265,-63.6665156,Esquire Restaurant
44.7160412,-63.678631,Szechuan Restaurant
44.6578195,-63.5992778,Silver Dragon Restaurant
44.7327776,-63.6569458,Sunnyside Too
44.7326739,-63.6570574,Sunnyside Restaurant
41.0426616,-76.8530193,Arrowhead Restaurant
44.2288631,-76.4823141,Pilot House
44.6774768,-63.649677,House of Mei Mei
44.6770421,-63.6486006,Jim's Family Restaurant
44.7669863,-63.684132,Freeman's Little New York
44.7679341,-63.6854469,Hong's Kitchen
44.927506,-63.5371925,Enfield Big Stop Restaurant
44.7312165,-63.6585735,Chabaa Thai
44.6464391,-63.5930481,Freeman's Lil New York
44.646477,-63.5928941,Scanway
44.644475,-63.5997079,Mezza
44.6446278,-63.6005057,Wasabi House
44.2361353,-76.4992328,Dong Nai
46.2105914,-60.2474593,Bianchini's Pizzeria
46.209647,-60.2483947,Canton Restaurant
46.2088824,-60.2489226,Robena's Restaurant
46.2369156,-60.4738808,Fitzgerald's Restaurant & Motel
46.2337183,-60.4769778,Spaghetti Bender's Restaurant
46.2320974,-60.4780286,Cedar House Bakery and Restaurant
48.81806,-57.9985821,
46.0944972,-60.8656859,The Red Barn Restaurant & Gift Shop
46.0892992,-60.8912303,Herring Choker Deli & Bakery
45.9644499,-61.1060216,Auld Brass Door
45.6494168,-61.4395494,Irving Big Stop
45.5973869,-61.9082972,Mother Webb's
44.2668601,-76.4964195,Denny's
44.2306095,-76.4794227,Lone Star Grill
48.9430833,-57.9487653,Tai-An Restaurant
48.9515475,-57.9454684,Sorrento
47.5878088,-59.1551797,Pizza Delight
47.5867937,-59.1523289,Tai-Hong Restaurant
47.5771396,-59.1409941,Harbour Restaurant
40.262382,-76.9618129,Caddy Shack Restaurant
40.2268495,-76.938491,Buffett
45.5757411,-62.6414258,Pizza Delight
45.5742341,-62.6415992,East Side Family Restaurant
45.5714033,-62.6585578,Jungle Jim's Eatery
45.9750042,-61.1267364,Vi's Restaurant
44.6446594,-63.5723806,Halifax Feast Dinner Theatre
44.6443282,-63.5722408,Niche Supper Club Lounge
44.6470972,-63.5742214,Press Gang
44.6467359,-63.5743817,Lot Six Bar & Restaurant
44.644937,-63.5738138,I Love Sushi
44.6451538,-63.5740816,ASAP Mabuhay
44.645622,-63.5741967,Bistro Le Coq
44.6457119,-63.5742394,Taipan Express
42.5126488,-73.229515,Coyote Den
43.6602005,-79.4331877,The Black Briik
43.210339,-71.5322147,Unos
40.217858,-76.9785482,Memphis Blues
40.2177728,-76.9790117,Tokyo Diner
40.2176155,-76.9797841,Italian Oven
40.2391456,-76.5111596,Colebrook Twin-Kiss
40.28741,-76.4135864,Blue Bird Inn
43.2395157,-71.4670821,Makris Lobster & Steak House
40.2551395,-76.8773713,Passage to India
44.2316339,-76.4819962,Score Pizza
45.4288519,-73.8283295,Piazza Romana
43.7543846,-79.2159596,Prague Restaurant
46.2623172,-72.875999,La Porte de la Mauricie
40.2502866,-76.8914261,Rock Bass
41.0462873,-76.8729821,Bonanza
31.4645019,-88.0320179,Creek Bank Restaurant
32.7606713,-80.1067796,Tomato Shed Cafe
39.1459392,-77.4169311,Bassett's
40.4800872,-75.6160819,Red Lion
39.9595499,-75.8882809,Stottsville
45.3647484,-73.7125155,Il Vicino
45.3633595,-73.7134824,Restaurant de la Place
45.3584413,-73.7178602,St-Hubert
45.3556695,-73.7661305,La Porte du Village
45.3611995,-73.7412096,Lotus
45.3468837,-73.7226392,Nobel 82
42.7682832,-78.6255535,Pasquale's
42.7681869,-78.6196395,John & Mary's
42.7680859,-78.6113159,Griffon Gastropub
42.767621,-78.6083001,"Tony Rome's ""The Globe"""
42.7675639,-78.6092902,Rick's on Main
42.7674792,-78.6086259,East End Tap Room
42.764553,-78.6330366,Leo's Sports Bar
45.5418125,-73.6633716,GP Restaurant
45.5476096,-73.6723185,Pizza Roni
45.5483897,-73.67179,La Crèmière
45.5492311,-73.6719597,Le Palais du Chausson et de la Pizza
45.5503045,-73.6713656,Casa del Vertoudos
45.5534243,-73.6694723,Restaurant Parasol Chinois
44.5069114,-73.2445007,Maya's Kitchen & Bar
37.298167,-76.73983,Longhill Rd & Rolling Meadows Apartments
40.2993301,-76.9295719,Als Pizza
45.4629054,-73.5712666,Chez Anas
45.217399,-88.077381,
45.493071,-73.5804177,Noodles Star
45.513161,-73.5706145,Frite Alors!
45.5223731,-73.5779394,Frite Alors!
45.520787,-73.5984245,Frite Alors!
45.5177659,-73.5976804,Pâtisserie Belge
43.6814873,-79.4258236,Pi Co.
45.3170302,-73.8582726,
43.6556742,-79.4098907,Harry's Charbroiled
43.6517057,-79.4096053,The Fourth Man in the Fire
43.6525571,-79.4122617,California Sandwiches
40.2486279,-77.0313307,Red Robin
45.4971832,-73.5754569,Les 3 Brasseurs
45.4972187,-73.5774768,"Le Milsa, Churascaria"
43.648206,-79.3995577,Drom Taberna
17.167197,-61.8032368,Le Bistro
43.6558894,-79.3933785,Jodhpore Club
44.0388478,-88.5407793,Vitale's Italian Cuisine
