lat,lon,name
47.6554532,-122.313141,Basil Viet Kitchen
34.190943,-118.3305106,Hometown Buffet
31.7823214,-107.6273869,The Pink Store
31.7781115,-107.6261424,Mariscos Gamez
31.7786822,-107.6268601,"Cafeteria ""Cristy"""
34.0590042,-117.1959165,Benjarong Thai Cuisine
34.0695688,-117.2615984,Myung GA Tofu and Korean BBQ
34.0867574,-117.279203,Party House Restaurant
34.0916869,-117.2768812,Pho Ha Vietnamese Restaurant
34.0563345,-117.186232,ḾU
34.0487299,-117.2083131,Watercress Vietnamese Bistro
37.6501154,-122.4079161,Denny's
38.1993881,-122.9206461,Nick's Cove
34.4161878,-103.4896793,Saint Vrain
45.4046854,-96.6415264,Shady Beach
35.8822239,-106.2991189,China Moon
42.0510808,-93.6210698,Tropical Sno
33.3776547,-111.9708889,Aunt Chilada's
33.3476644,-111.9762449,Sakana
33.4799756,-112.0320647,Jerry's
51.1270989,-114.2065605,Sushi Boat
51.1255761,-114.1987451,Chianti Cafe & Restaurant
51.1256349,-114.1975588,Joey's
51.1058475,-114.1636004,Boston Pizza
51.0665754,-114.1081809,Juree's Thai Place
51.1866913,-114.4751749,Matsuya Japanese House
51.1883419,-114.4743578,Yoshi Grill
51.1846308,-114.4774367,Joey's Seafood
51.1915887,-114.4731254,Thanh Thy
51.1912794,-114.4725533,
51.1911707,-114.4701003,Jaipur India Cuisine
51.1903807,-114.4699981,Canyon Rose
51.1894804,-114.4688391,Olive R Twist
51.0875261,-114.4747887,Humpty's
35.1322505,-106.5164962,Flying Star
34.883527,-92.1094246,Pizza Hut
34.8821169,-92.1125789,Western Sizlin
34.8788703,-92.1154181,AP's Seafood Buffet
34.8693136,-92.1273231,New China
35.0802656,-106.6067725,Il Vicino
35.0797736,-106.6061521,Flying Star
34.0114445,-118.4945477,True Food Kitchen
37.8269275,-122.2095672,Mountain Mike's Pizza
49.5039588,-115.059662,The Blue Toque
49.501469,-115.0632675,Corner Pocket Restaurant
49.6074562,-114.4340203,Ben Wong Restaurant
49.6090797,-114.4456662,51RT
49.6078288,-114.4375394,Cosmopolitan Hotel and Bar
49.611166,-114.456259,Side Trax Diner
35.8812294,-106.3008859,Blue Window
35.8807229,-106.2944654,China Palace
35.8805189,-106.2944665,Pyramid Café
51.1254934,-114.0725038,Boston Pizza
51.0985991,-114.0406347,The Italian Store
53.30902,-113.585034,Boston Pizza
51.0723146,-114.1174769,Nicks Steakhouse
51.0671804,-114.0857773,Earl's
49.5869718,-114.1628113,Lundbreck Pizza
51.1900317,-114.4692693,
48.4255715,-123.367493,Earls
33.7373487,-117.9457278,Pho Dakao
44.9758143,-110.7026646,Terrace Grill
52.2203213,-117.2244363,Icefield Centre
37.5782082,-122.3374627,Yamo Yamo
37.3514098,-122.0061096,Rama V Thai Cuisine
37.351412,-122.0064404,Komala Vilas
37.3538012,-121.9999994,Pizz’a Chicago
37.3684685,-122.0374992,Ginger Cafe
37.5798967,-122.347185,Il Fornaio
37.5783216,-122.3490215,Barracuda
37.3782704,-121.9953212,Swati Tiffins
37.3885562,-121.9837756,Tomatina
37.3894651,-121.9838892,Mexicali Grill
45.0367845,-92.8342286,Perkin's
37.6077487,-122.3975163,Terrace Cafe
37.5797811,-122.3350416,Celia's
49.9008927,-97.1840138,Cafe Dario
49.8974724,-97.1843611,Cookatoos
32.8623226,-117.2246938,Leucadia
32.8620457,-117.2246904,Subarashi
32.8213897,-117.1837793,Thai Time III
32.8336437,-117.1738615,Sipz Fusion Cafe
