lat,lon,name
25.0006253,121.3139184,碳火燒肉小酒館
25.0098246,121.3110488,原燒 (桃園春日店)
18.3922734,99.2157026,
18.9390311,99.1327392,ท่าเรือลุงเจริญ
18.5410253,98.5996214,Food & Drinks
19.1743236,99.0319129,
23.7923662,90.4157108,Baton Rouge
23.7909581,90.4174196,Heritage
22.2260711,114.1116544,Lamma Grill
22.4110781,114.375858,海風士多
22.3927761,114.2988741,利昌士多
22.2788,114.173,上海三六九飯店 369 Restaurant Shanghai Food
25.0321775,121.5687012,N.Y.Bagels Cafe
17.0308463,99.7031545,
21.0473212,105.8376261,Bánh tôm Hồ Tây
27.7143297,85.3284556,Wunjala
22.8868297,120.5303234,
22.8794479,120.5238486,
18.7915608,98.9966779,New Boomerang
23.7949148,90.353195,Kiangsi Chinese
22.5524875,114.1253361,小肥羊
22.5507275,114.1166073,必胜客
25.0259328,121.3023749,打鹿岸 (Daluan)
20.1663752,99.6231185,Sakura
20.1654003,99.628131,Yunnanist Noodle Shop
20.1651815,99.632665,Wang Put Tan
20.3555739,100.0811805,Sriwan
23.7514014,90.3679886,Four Season
17.9646356,102.6073855,Khop Chai Deu
21.2325135,92.0483632,One Minute Resturant
20.631173,92.3178372,Keyari Marzan Resturant
23.1432364,113.2851361,Taste of India
17.3251386,102.0635347,
22.323058,114.1680612,Noodle Shop
22.3232247,114.1687993,京華酒樓 Jing Hua Restaurant
23.7806827,90.4030306,Ruchita Restaurant and Bar
22.3232313,114.1676648,Lychee Garden Chinese Restaurant
24.4185647,89.5556532,Aristocrat
18.0624517,120.5201212,Herencia De Paoay
22.994647,120.2208516,Garden 18
27.6782359,85.3129059,Mustang Thakali Kitchen
25.0474252,102.701472,石屏会馆
22.3309721,114.1878684,
25.5348228,102.3742962,
21.0222319,105.84695,Nha Hang Nam Phuong Vegetarian
21.0217552,105.8563856,Nhà hàng Nam Phương
21.0169539,105.852831,Nha Hang Little Italian
21.0265868,105.8430053,Nha Hang Indochine
18.7807762,99.0005829,The Whole Earth
21.011312,105.8496294,Limone
21.0741493,105.8154687,Sen Tây Hồ
21.0708282,105.777075,
21.0459158,105.8027102,Bia hơi Hải Xồm
21.029809,105.827693,Trà Xuân Tửu
21.0288674,105.8431006,Cây Si
21.0083549,105.8567708,Nhà hàng Thành Lộc
25.0420472,121.5133676,西堤
22.27722,114.17348,Paisano's Pizzeria
17.9695928,102.6050085,Swedish Pizza & Baking House
17.9641766,102.6019313,Enjoy
17.9644448,102.6042217,ຮ້ານອາຫານບ້ານລາວ
17.9650192,102.6045208,Ai Capone
17.964704,102.6027914,Dok Champa
20.5495108,105.9145028,
17.9631066,102.6058266,ໂຊກດີ ຄາເຝ້
17.964318,102.6059504,MuzaïK
17.9632695,102.6051314,The Shade Restaurant
17.9632873,102.605073,Thonglor Restaurant
17.9633051,102.6050092,Sugarland
17.9633198,102.6049563,Aaschifa
17.9636369,102.6048985,Via Via Restaurant
17.9645128,102.6056101,Osaka
17.9645898,102.6056473,Café Vanille
17.9649894,102.6029878,Nazim
17.9638722,102.6040192,Sticky Fingers
17.9640103,102.6040808,Tyson Kitchen
17.9642255,102.604185,Douang Deuane
17.964303,102.6042269,Pomodoro Pizzeria
17.9684532,102.6020685,Jamil Zahid
17.9676553,102.5992787,Youth Center
20.949949,106.36166,Ẩm thực sinh thái Sơn Hải
20.9915285,106.3465813,Khu sinh thái Thuỷ Tiên
17.9665094,102.603401,Chez Joseph
17.9544039,102.6214193,Spring Roll Shop
19.8805427,102.1307074,Maly Lao Food
20.0529522,102.2131253,Pak Ou
17.9656203,102.6065307,Taj Mahal
17.9689824,102.6038538,Liao-Ning Dumpling
17.965838,102.6024876,Le Vendôme
17.9661543,102.5955501,Spirit House
17.9663338,102.5932422,Riverview
17.9695734,102.582934,Fuji Shabu
17.9671133,102.6006504,Fujiwara
18.0347858,102.6330047,ຮ້ານອາຫານເຂົ້າຊອຍ
18.0381238,102.6325841,ຮ້ານອາຫານຕິກ
17.9555067,102.6162822,ສາຍຟົນ
17.9445182,102.619146,La Scala
26.3197122,99.850092,
17.9487558,102.6194201,Vieng Nem Neung
